Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,,,BAS100,Батомер,"Гидрологический прибор, предназначенный для взятия проб воды на различной глубине",СТО 70238424.27.140.043-2009,,,,Определение синтезировано
,,,,BAS110,Шумомер,"Прибор для проверки шума, снабженный микрофоном, устройством обработки сигналов и устройством отображения, соответствующий установленным требованиям",ГОСТ 33997-2016,,,,Определение синтезировано
,,,,BAS120,Гидрометрическая вертушка,Прибор для измерения скорости воды в потоках,СТО 70238424.27.140.043-2009,,,,Определение синтезировано
,,,,BAS130,Пылемер,Прибор для измерений запылённости воздуха непосредственно на месте замера,ГОСТ 12.2.106-85,,"Атмас
 ИКВЧ(п)",,Определение синтезировано
,,,,BAS140,Пиранометр,"Прибор, используемый для измерения общей освещенности на плоскости", ГОСТ Р 8.807-2012,,,,Определение синтезировано
,,,,BAS150,Актинометр,Прибор для измерения интенсивности прямой солнечной радиации (излучения) по степени нагрева поглощающей радиацию зачерненной поверхности, ГОСТ Р 8.807-2012,,,,Определение синтезировано
,,,,BAS160,Гигрометр,"Измерительный прибор, предназначенный для измерения одной или нескольких величин влажности газов",РД 153-34.1-11.320-00,,,,Определение синтезировано
,,,,BAS170,Аспиратор,"Прибор для отбора проб воздуха или газов с целью определения их химического состава, содержания в них пыли, влаги и других примесей",СТО 70238424.27.010.001-2008,,,,Определение синтезировано
,,,,BAS180,Газоанализатор,Средство измерения объемной концентрации вредных веществ,ГОСТ Р 17.2.2.07-2000,,,,Определение синтезировано
,,BAT,,,Общелабораторное и вспомогательное оборудование,,,,,,
,,,,BAT010,Вискозиметр,Прибор для измерения вязкости,Каталог ЕВРОТЕСТ,,,,
,,,,BAT020,Дистиллятор,Прибор для получения высококачественной дистиллированной воды,Каталог ЕВРОТЕСТ,,,,
,,,,BAT030,Деионизатор,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT040,Штатив,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT050,Держатель,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT060,Подъемный столик,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT070,Перемешивающее устройство,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT080,Перекачивающая система,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT090,Сушильно-моечное оборудование,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT100,Сушильный шкаф лабораторный,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT110,Печь лабораторная,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT120,Колбонагреватель,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT130,Электроплитка,Переносный бытовой нагревательный электроприбор с одной или несколькими электроконфорками,ГОСТ 15047-78,,,,
,,,,BAT140,Термоблок,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT150,Жидкостная баня,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT160,Термостат,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT170,Термопара,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT180,"Камера (климатическая, пропарочная, нормального твердения, морозильная)",,Каталог ЕВРОТЕСТ,,,,
,,,,BAT190,Пирометр,"Средство (совокупность средств) измерений температуры по тепловому электромагнитному излучению, предназначенное для выработки сигнала измерительной информации в форме, удобной для непосредственного восприятия наблюдателем. Конструктивно пирометр может представлять собой совокупность пирометрического преобразователя и устройства отображения информации в аналоговой или цифровой форме.",ГОСТ 28243-96,,,,
,,,,BAT200,Секундомер,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT210,Таймер лабораторный,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT220,Дробилка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT230,Просеивающая машина,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT240,Истиратель,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT250,Мельница,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT260,Миксер,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT270,Пенетрометр,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT280,Станок для выпиливания образцов,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT290,Буровая колонка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT300,Металлоискатель,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT310,Виброплощадка лабораторная,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT320,Встряхивающий столик,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT330,Вибростол,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT340,Вибросито,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT350,Грохот,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT360,Алмазный диск,,Каталог ЕВРОТЕСТ,,,,
,,,,BAT370,Отвес,,ГОСТ Р 58513-2019,,,,
,,,,BAT380,Фонарик,,,,,,
,,,,BAT390,Стрелочно-рычажное устройство для наблюдения за трещинами,,СТО 70238424.27.010.011-2008,,,,
,,,,BAT400,Маяк для наблюдения за трещинами,,СП 305.1325800.2017,,,,
,,BAU,,,"Прибор, измеряющий давление жидкости или газа, расход воды",,,,,,
,,,,BAU010,Манометр,Измерительный прибор или измерительная установка для измерения давления или разности давлений.,ГОСТ 8.271-77 ГСИ,,,,Определение синтезировано
,,,,BAU020,Водомер,Прибор для определения расхода воды,СТО НОСТРОЙ 2.33.190-2016,,,,Определение синтезировано
,,BAV,,,Спектральные и оптические приборы,,,,,,
,,,,BAV010,Микроскоп,,Каталог ЕВРОТЕСТ,,,,
,,,,BAV020,Лупа,,Каталог ЕВРОТЕСТ,,,,
,,,,BAV030,Бинокль,,СП 432.1325800.2019,,,,
,,,,BAV040,Кювет оптический,"Сосуд плоской формы, предназначенный для фотометрирования в фотометрах, спектрофотометрах, колориметрах, флуориметрах, микроколориметрах, гемоглобинометрах и других приборах",Каталог ЕВРОТЕСТ,,,,
,,,,BAV050,Спектрофотометр,"Прибор, предназначенный для измерения отношений двух потоков оптического излучения, один из которых — поток, падающий на исследуемый образец, другой — поток, испытавший то или иное взаимодействие с образцом",Каталог ЕВРОТЕСТ,,,,
,,,,BAV060,Спектрометр,"Оптический прибор, используемый в спектроскопических исследованиях для накопления спектра, его количественной обработки и последующего анализа с помощью различных аналитических методов",Каталог ЕВРОТЕСТ,,,,
,,BAW,,,Электрохимические анализаторы,,Каталог ЕВРОТЕСТ,,,,
,,,,BAW010,Иономер,,Каталог ЕВРОТЕСТ,,,,
,,,,BAW020,рН-метр,,Каталог ЕВРОТЕСТ,,,,
,,,,BAW030,Электрод ионселективный,,Каталог ЕВРОТЕСТ,,,,
,,,,BAW040,Кондуктометр,,Каталог ЕВРОТЕСТ,,,,
,,,,BAW050,Солемер,,Каталог ЕВРОТЕСТ,,,,
,,,,BAW060,Раствор для калибровки,,Каталог ЕВРОТЕСТ,,,,
,,,,BAW070,Раствор для хранения и очистки электродов,,Каталог ЕВРОТЕСТ,,,,
,,BAX,,,Приборы для контроля лакокрасочных материалов,,Каталог ЕВРОТЕСТ,,,,
,,,,BAX010,Измеритель эластичности,,Каталог ЕВРОТЕСТ,,,,
,,,,BAX020,Блескомер,,Каталог ЕВРОТЕСТ,,,,
,,,,BAX030,Спектроколориметр,,Каталог ЕВРОТЕСТ,,,,
,,,,BAX040,Гребенка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAX050,Гриндометр-клин,,Каталог ЕВРОТЕСТ,,,,
,,,,BAX060,Пикнометр для лакокрасочных материалов,,Каталог ЕВРОТЕСТ,,,,
,,BAY,,,Оборудование для фиксации и записи,,Каталог ЕВРОТЕСТ,,,,
,,,,BAY010,Фотоаппарат,,Каталог поставщиков,,,,
,,,,BAY020,Видеокамера,,Каталог поставщиков,,,,
,,,,BAY030,Квадрокоптер,,Каталог поставщиков,,,,
,,,,BAY040,Перископ,"Оптический прибор, дающий возможность рассматривать предметы, расположенные в горизонтальных плоскостях, не совпадающих с горизонтальной плоскостью глаза наблюдателя","ГОСТ 32963-2014
",,,,
,,,,BAY050,Диктофон,,Каталог поставщиков,,,,
,,BAZ,,,Лабораторный инвентарь,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ010,Бутыль с притертой пробкой,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ020,Воронка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ030,Ванна для воды,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ040,Бюретка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ050,Колба,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ060,Пикнометр для жидкости,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ070,Пипетка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ080,Пробирка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ090,Склянка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ100,Стаканчик стеклянный с притертой крышкой для взвешивания,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ110,Стакан лабораторный,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ120,Ступка и пестик,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ130,Тигель,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ140,Чашка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ150,Цилиндр измерительный,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ160,Эксикатор,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ170,Сито,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ180,Ареометр,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ190,Форма,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ200,Конус,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ210,Кольцо,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ220,Туба,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ230,Щипцы,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ240,Пинцет,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ250,Скальпель,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ260,Корзина для проб,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ270,Дозатор для пипеток,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ280,Магнит,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ290,Гири,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ300,Фильтровальная бумага,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ310,Фильтры обеззоленные,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ320,Чашка выпарительная,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ330,Стеклянная палочка,,Каталог ЕВРОТЕСТ,,,,
,,,,BAZ340,Емкость для испытания образцов на морозостойкость,,Каталог ЕВРОТЕСТ,,,,
,BB,,,,Оборудование для обеспечения безопасности движения при производстве работ,,ГОСТ 32757-2014,Вид оборудования,,,
,,BBA,,,Защитный блок,,ГОСТ 32757-2014,,,,
,,BBB,,,Буфер дорожный,,ГОСТ 32757-2014,,,,
,,BBC,,,Щит,,ГОСТ 32757-2014,,,,
,,BBD,,,Сетка,,ГОСТ 32757-2014,,,,
,,BBE,,,Временный защитный барьер,,ГОСТ 32757-2014,,,,
,,BBF,,,Перильно-стоечный барьер,,ГОСТ 32757-2014,,,,
,,BBG,,,Конус дорожный,,ГОСТ 32757-2014,,,,
,,BBH,,,Вехa,,ГОСТ 32757-2014,,,,
,,BBJ,,,Шнур с флажками,,ГОСТ 32757-2014,,,,
,,BBK,,,Лента оградительная,,ГОСТ 32757-2014,,,,
,,BBL,,,Светофор,,ГОСТ 32757-2014,,,,
,,BBM,,,Фонарь,,ГОСТ 32757-2014,,,,
,,BBN,,,Переносное устройство освещения,,ГОСТ 32757-2014,,,,
,,BBP,,,Мостик пешеходный,,ГОСТ 32757-2014,,,,
,,BBQ,,,Шлагбаум,,ГОСТ 32757-2014,,,,
,,BBR,,,Комплекс дорожных знаков переносной,,ГОСТ 32757-2014,,,,
,,BBS,,,Передвижной заградительный знак,,ГОСТ 32757-2014,,,,
,,BBT,,,Делиниатор,,ГОСТ 32757-2014,,,,
,,BBU,,,Автомобиль прикрытия,,ГОСТ 32757-2014,,,,
,,BBV,,,Громкоговоритель,,ГОСТ 32757-2014,,,,
,BC,,,,"Оборудование, приборы и материалы для взрывных работ",,Приказ РТН от 15.09.2011 № 537,"Вид оборудования, прибора или материала",,,
,,BCA,,,Взрывчатое вещество,,Приказ РТН от 15.09.2011 № 537,,,,
,,,BCAA,,"Взрывчатое вещество и изделие из него, предназначенное для взрывания только на земной поверхности (I класс)",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAA010,Взрывчатое вещество и изделие из него гранулированное I класс,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAA020,Взрывчатое вещество и изделие из него порошкообразное,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAA030,Взрывчатое вещество и изделие из него водосодержащее I класс,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAA040,Взрывчатое вещество и изделие из него эмульсионное I класс,,Приказ РТН от 15.09.2011 № 537,,,,
,,,BCAB,,"Взрывчатое вещество и изделие из него, предназначенное для взрывания на земной поверхности и в забоях подземных выработок шахт (рудников), не опасных по газу или пыли (II класс)",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAB010,Взрывчатое вещество и изделие из него гранулированное II класс,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAB020,Взрывчатое вещество и изделие из него водосодержащее II класс,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAB030,Взрывчатое вещество и изделие из него эмульсионное II класс,,Приказ РТН от 15.09.2011 № 537,,,,
,,,BCAC,,"Предохранительное взрывчатое вещество и изделие из него, предназначенное для взрывания в шахтах (рудниках), опасных по газу или пыли",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAC010,Аммонит,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAC020,Ионит,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAC030,Угленит,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAC040,Заряд,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAC050,Монозаряд,,Приказ РТН от 15.09.2011 № 537,,,,
,,,BCAD,,"Взрывчатое вещество и изделие из него, предназначенное для вторичного дробления, обработки материалов энергией взрыва и специальных работ на земной поверхности",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAD010,"Аммонит, предназначенный для вторичного дробления, обработки материалов энергией взрыва и специальных работ на земной поверхности",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAD020,Гексопласт,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAD030,"Заряд, предназначенный для вторичного дробления, обработки материалов энергией взрыва и специальных работ на земной поверхности",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAD040,Изделие,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAD050,Труборез,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCAD060,Промежуточный детонатор,,Приказ РТН от 15.09.2011 № 537,,,,
,,BCB,,,Средство инициирования,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB010,Средство для инициирования взрыва,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB020,Детонирующий шнур,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB030,Реле пиротехнические,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB040,Неэлектрическая система инициирования,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB050,Термостойкий детонирующий шнур,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB060,Огнепроводный шнур,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB070,"Зажигательный патрон, трубка, электровоспламенитель (электрозажигатель)",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB080,Капсюль-детонатор,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB090,Капсюль-воспламенитель,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB100,Электродетонатор непредохранительный,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCB110,Электродетонатор термостойкий,,Приказ РТН от 15.09.2011 № 537,,,,
,,BCC,,,Контейнер для транспортировки взрывчатых веществ,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCC010,Контейнер для взрывчатых веществ,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCC020,Устройство для защиты от взрыва,,Приказ РТН от 15.09.2011 № 537,,,,
,,BCD,,,"Взрывной и контрольно-измерительный прибор, устройство",,Приказ РТН от 15.09.2011 № 537,,,,
,,,BCDA,,"Взрывной прибор, машинка",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDA010,Машинка взрывная,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDA020,Взрывная станция стволовая,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDA030,Взрывной прибор,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDA040,Устройство взрывное,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDA050,Комплект взрывной,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDA060,Станция взрывного пункта,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDA070,Устройство инициирования волновода,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDA080,Устройство пусковое,,Приказ РТН от 15.09.2011 № 537,,,,
,,,BCDB,,Аппаратура дистанционного беспроводного взрывания,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDB010,Синхронизатор,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDB020,Система синхронизации,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDB030,Аппаратура дистанционного выполнения взрывов,,Приказ РТН от 15.09.2011 № 537,,,,
,,,BCDC,,"Контрольно-измерительный прибор, устройство",,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDC010,Испытатель взрывной светодиодный,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDC020,Прибор контроля,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDC030,Мост,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDC040,Измеритель сопротивления взрывной цепи,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDC050,Индикатор фотоэлектрический,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCDC060,Тестер-индикатор,,Приказ РТН от 15.09.2011 № 537,,,,
,,BCE,,,Средство маркировки капсюлей-детонаторов в металлических гильзах и электродетонаторов,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCE010,Маркировочная головка,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCE020,Маркиратор,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCE030,Устройство обжимное маркирующие цанговое,,Приказ РТН от 15.09.2011 № 537,,,,
,,BCF,,,Зарядно-транспортные и смесительные устройства,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF010,Доставщик невзрывчатых компонентов,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF020,Машина доставочная,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF030,Машина-транспортировщик,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF040,Смесительная установка,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF050,Зарядная машина,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF060,Смесительно-зарядная машина,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF070,Комбинированная зарядная машина,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF080,Транспортно-зарядная машина,,Приказ РТН от 15.09.2011 № 537,,,,
,,,,BCF090,Устройство для пневмозаряжания,,Приказ РТН от 15.09.2011 № 537,,,,
,BD,,,,Оборудование для обогрева и сушки,,,Вид оборудования,,,
,,BDA,,,Воздухонагреватель,,ГОСТ 27330-97,,,,
,,BDB,,,Обогреватель,,ГОСТ 34315-2017,,,,
,,BDC,,,Электросушильный шкаф для одежды и обуви,,,,,,
,,BDD,,,Термос,,ТР 80-98,,,,
,,BDE,,,Пушка тепловая,,КСР,,,27.51.26.91.21.18-021,
,,BDF,,,Воздухоосушитель для маслонаполненных вводов,,КСР,,,28.29.60.91.21.18-001,
,,BDG,,,Установка для защиты изоляции трансформаторов от увлажнения,,КСР,,,28.29.60.91.21.18-031,
,,BDH,,,Установка горячего воздуха для очистки трещин и швов,,КСР,,,27.51.26.91.21.18-520,
,,BDJ,,,Установка для осушки и очистки от механических примесей атмосферного воздуха для трансформаторов,,КСР,,,28.29.60.91.21.18-522,
,,BDK,,,Маслоподогреватель,,КСР,,,28.99.39.91.21.18-011,
,,BDL,,,Электротрансформатор понижающий масляный,,КСР,,,27.11.43.91.21.18-081,
,,BDM,,,Агрегат передвижной огневой,,КСР,,,27.51.26.91.21.18-500,
,,BDN,,,Водонагреватель промышленный,,КСР,,,27.51.26.91.21.18-502,
,,BDP,,,Водонагреватель электрический проточный стационарный,,КСР,,,27.51.25.91.21.18-504,
,,BDQ,,,Подстанция трансформаторная комплектная для термообработки бетона и грунта,,КСР,,,27.51.26.91.21.18-512,
,,BDR,,,Теплогенератор,,КСР,,,27.51.26.91.21.18-516,
,,BDS,,,Установка для сжигания древесных остатков,,КСР,,,28.21.13.91.21.18-524 28.21.13.91.21.18-526 28.21.13.91.21.18-528,
,,BDT,,,Установка котельная передвижная,,КСР,,,27.51.26.91.21.18-530,
,BE,,,,Спасательное оборудование,,,Вид оборудования,,,
,,BEA,,,Лодка,,ВСН 4-81,,,,
,,BEB,,,Спасательный круг,,ГОСТ Р 52206-2004 ,,,,
,,BEC,,,Спасательный жилет,,ВСН 4-81,,,,
,BF,,,,Оборудование для организации рабочих мест и коммуникации рабочих,,Каталоги поставщиков,Назначение оборудования,,,
,,BFA,,,Устройство оперативной обработки данных,,,,,,
,,,,BFA010,Персональный компьютер,,ГОСТ Р МЭК 62523-2015,,,61.3.05,
,,,,BFA020,Ноутбук,,ГОСТ Р МЭК 62523-2015,,,,
,,,,BFA030,Планшет,,,,,,
,,,,BFA040,Калькулятор,,,,,,
,,,,BFA050,Электронная записная книжка,,,,,,
,,BFB,,,Лицензионное программное обеспечение,,,,,,
,,BFC,,,"Оборудование для составления, размножения и копирования документов",,,,,,
,,,,BFC010,Плоттер,,,,,,
,,,,BFC020,Принтер,,,,,,
,,,,BFC030,Сканер,,,,,,
,,,,BFC040,Копировально-множительный аппарат,,,,,,
,,,,BFC050,МФУ,,,,,,
,,BFD,,,Конструкторская и чертежная техника,,,,,,
,,,,BFD010,Кульман,,,,,,
,,,,BFD020,Графический дисплей,,ГОСТ 33707-2016 ,,,,
,,,,BFD030,3D-принтер,,ГОСТ Р 57558-2017,,,,
,,BFE,,,Средство для хранения и обработки информации,,,,,,
,,,,BFE010,Сервер,,КСР,,,61.3.05.04,
,,,,BFE020,Съемный жесткий диск,,,,,,
,,,,BFE030,Внешний накопитель данных,,,,,,
,,BFF,,,Средство связи,,,,,,
,,,,BFF010,Телефонный аппарат,,КСР,,,61.1.02.01,
,,,,BFF020,Факс,,,,,,
,,,,BFF030,Портативная радиостанция,,,,,26.30.11.61.1.03.05-0003                          26.30.11.61.1.03.05-0004,
,,,,BFF040,Трансивер,,КСР,,,"26.30.30.61.1.04.09-0133 26.30.30.61.1.04.09-1077
26.30.30.61.1.04.09-0132
26.30.30.61.1.04.09-0134
26.30.30.61.1.04.09-0135
26.30.40.61.1.04.09-0136
",
,,,,BFF050,Wi-fi роутер,,,,,,
,,BFG,,,Средство защиты электропитания,,,,,,
,,,,BFG010,Блок бесперебойного питания,,КСР,,,62.4.02.01,
,,,,BFG020,Стабилизатор напряжения,,КСР,,,26.30.50.77.3.03.01-1606 27.33.13.62.1.05.01-1006,
,,,,BFG030,Сетевой фильтр,,,,,,
,,BFH,,,Вспомогательная техника,,,,,,
,,,,BFH010,Бытовая техника,,,,"холодильник
электрический чайник
микроволновая печь
кондиционер",,
,,,,BFH011,Кулер,,,,,,
,,,,BFH012,Настольная лампа,,,,,,
,,,,BFH013,Шредер,,,,,,
,BG,,,,Оборудование для переноски стекла,,Каталог Заубер Машинери,Вид оборудования,,,
,,BGA,,,Тележка для транспортировки стекла,,,,,,
,,BGB,,,Пневматический вакуумный подъемный механизм,,,,,,
,,BGC,,,Электрический вакуумный подъемный механизм,,,,,,
,,BGD,,,Стеклодомкрат,,,,,,
,,BGE,,,Захват для переноски стекла,,,,,,
,,BGF,,,Зажим для стекла (пинза),,,,,,
,,BGG,,,Присоска вакуумная для стекла,,,,,,
,,BGH,,,Ремень для переноски стекла,,,,,,
,BH,,,,Оборудование для мойки колес,,,Вид оборудования,,,
,,BHA,,,Мобильная сборно-разборная установка многоразового применения для мойки колес,,Каталог монтажной оснастки и инвентаря,,,,
,,BHB,,,Мойка колес автотранспорта с оборотным водоснабжением,,Каталог монтажной оснастки и инвентаря,,,,
,BJ,,,,Оборудование для сбора мусора,,,Вид оборудования,,,
,,BJA,,,Строительный мусоропровод,,Каталог монтажной оснастки и инвентаря,,,,
,,BJB,,,Мешок для строительного мусора,,,,,,
,,BJC,,,Коробка,,,,,,
,,BJD,,,Контейнер для строительного мусора,,Каталог монтажной оснастки и инвентаря,,,,
C,,,,,"Оснастка, инвентарь, инструмент",,,Вид оборудования,,,
,CA,,,,Приспособления для захвата и перемещения груза,,,Вид оборудования,,,
,,CAA,,,Захват,,Каталог монтажной оснастки и инвентаря,,,,
,,CAB,,,Траверса,"Горизонтальная балка, предназначенная для монтажа или подъема оборудования, закрепленная на подвесках или опирающаяся на вертикальные стойки",СП 73.13330.2016,,,,
,,CAC,,,Строп,,Каталог монтажной оснастки и инвентаря,,,,
,,CAD,,,Канатная ветвь,,Каталог монтажной оснастки и инвентаря,,,,
,,CAE,,,Тяга-удлинитель,,Каталог монтажной оснастки и инвентаря,,,,
,,CAF,,,Полиспаст,,Каталог монтажной оснастки и инвентаря,,,,
,,CAG,,,Блок,,ГОСТ 33710-2015,,,,
,CB,,,,Приспособления для временного закрепления и выверки элементов,,,Вид оборудования,,,
,,CBA,,,Струбцина,,Каталог монтажной оснастки и инвентаря,,,,
,,CBB,,,Штанга телескопическая,,Каталог монтажной оснастки и инвентаря,,,,
,,CBC,,,Стойка,,Каталог монтажной оснастки и инвентаря,,,,
,,CBD,,,Упор для монтажа гипсокартонных перегородок,,Каталог монтажной оснастки и инвентаря,,,,
,,CBE,,,Расчалка,,Каталог монтажной оснастки и инвентаря,,,,
,,CBF,,,Устройство для монтажа ригеля-распорки,,Каталог монтажной оснастки и инвентаря,,,,
,,CBG,,,Вкладыш клиновый,,Каталог монтажной оснастки и инвентаря,,,,
,,CBH,,,Скоба,,Каталог монтажной оснастки и инвентаря,,,,
,,CBJ,,,Фиксатор для временного крепления арматурных каркасов,,Каталог монтажной оснастки и инвентаря,,,,
,,CBK,,,Хомут для соединения выпусков колонн,,Каталог монтажной оснастки и инвентаря,,,,
,,CBL,,,Кондуктор одиночный для монтажа колонн,,Каталог монтажной оснастки и инвентаря,,,,
,,CBM,,,Групповой кондуктор для монтажа конструкций зданий с безбалочными перекрытиями,,Каталог монтажной оснастки и инвентаря,,,,
,,CBN,,,Площадка - кондуктор для монтажа колонн,,Каталог монтажной оснастки и инвентаря,,,,
,,CBP,,,Площадка фасадная для монтажа колонн,,Каталог монтажной оснастки и инвентаря,,,,
,,CBQ,,,Площадка угловая для монтажа колонн,,Каталог монтажной оснастки и инвентаря,,,,
